Plain Weave,Caustic (ml/kg),Peroxide (ml/kg),Stabilizer (ml/kg),Sequestering agent (ml/kg),Wetting agent (ml/kg),Roller Pressure (RP) (bar),Velocity (V) (m/dk),Berger
1,40,30,9.5,2.5,1.0,1,0.5,64.6
1,70,30,9.5,4.0,1.0,1,0.5,60.0
1,70,45,9.5,2.5,1.0,1,0.5,66.6
1,40,45,6.5,2.5,0.75,1,0.5,57.03
1,70,30,6.5,2.5,1.0,1,0.5,64.0
1,40,30,9.5,2.5,0.75,1,0.5,61.07
1,70,45,9.5,4.0,1.0,1,0.5,66.13
1,40,45,6.5,4.0,1.0,1,0.5,55.97
1,70,30,9.5,2.5,0.75,1,0.5,65.97
1,70,30,9.5,2.5,1.0,1,0.5,65.4
1,40,30,9.5,4.0,0.75,1,0.5,63.7
1,70,45,9.5,2.5,0.75,1,0.5,62.47
1,40,45,6.5,4.0,0.75,1,0.5,60.83
1,70,30,6.5,4.0,1.0,1,0.5,67.57
1,40,45,9.5,2.5,1.0,1,0.5,61.67
1,40,30,6.5,2.5,1.0,1,0.5,65.4
1,70,45,9.5,4.0,0.75,1,0.5,68.72
1,40,45,9.5,4.0,0.75,1,0.5,62.42
1,70,45,6.5,2.5,1.0,1,0.5,68.73
1,40,30,9.5,4.0,1.0,1,0.5,65.1
1,40,30,6.5,4.0,0.75,1,0.5,65.7
1,40,45,9.5,4.0,1.0,1,0.5,58.67
1,40,45,6.5,2.5,1.0,1,0.5,63.77
1,70,30,6.5,2.5,0.75,1,0.5,65.33
1,70,30,6.5,4.0,0.75,1,0.5,65.73
1,70,45,6.5,2.5,0.75,1,0.5,66.33
1,40,30,6.5,4.0,1.0,1,0.5,63.4
1,70,30,9.5,4.0,0.75,1,0.5,64.17
1,40,30,6.5,2.5,0.75,1,0.5,64.2
1,70,45,6.5,4.0,1.0,1,0.5,68.43
1,40,45,9.5,2.5,0.75,1,0.5,58.47
1,70,45,6.5,4.0,0.75,1,0.5,69.5
0,40,30,9.5,2.5,1.0,1,0.5,59.58
0,70,30,9.5,4.0,1.0,1,0.5,68.34
0,70,45,9.5,2.5,1.0,1,0.5,71.57
0,40,45,6.5,2.5,0.75,1,0.5,53.87
0,70,30,6.5,2.5,1.0,1,0.5,67.33
0,40,30,9.5,2.5,0.75,1,0.5,62.33
0,70,45,9.5,4.0,1.0,1,0.5,70.67
0,40,45,6.5,4.0,1.0,1,0.5,61.67
0,70,30,9.5,2.5,0.75,1,0.5,70.33
0,70,30,9.5,2.5,1.0,1,0.5,70.0
0,40,30,9.5,4.0,0.75,1,0.5,58.0
0,70,45,9.5,2.5,0.75,1,0.5,68.67
0,40,45,6.5,4.0,0.75,1,0.5,52.67
0,70,30,6.5,4.0,1.0,1,0.5,67.0
0,40,45,9.5,2.5,1.0,1,0.5,54.0
0,40,30,6.5,2.5,1.0,1,0.5,57.0
0,70,45,9.5,4.0,0.75,1,0.5,71.43
0,40,45,9.5,4.0,0.75,1,0.5,59.16
0,70,45,6.5,2.5,1.0,1,0.5,72.38
0,40,30,9.5,4.0,1.0,1,0.5,61.71
0,40,30,6.5,4.0,0.75,1,0.5,53.45
0,40,45,9.5,4.0,1.0,1,0.5,60.57
0,40,45,6.5,2.5,1.0,1,0.5,67.33
0,70,30,6.5,2.5,0.75,1,0.5,70.0
0,70,30,6.5,4.0,0.75,1,0.5,69.0
0,70,45,6.5,2.5,0.75,1,0.5,63.33
0,40,30,6.5,4.0,1.0,1,0.5,58.33
0,70,30,9.5,4.0,0.75,1,0.5,68.33
0,40,30,6.5,2.5,0.75,1,0.5,63.67
0,70,45,6.5,4.0,1.0,1,0.5,66.33
0,40,45,9.5,2.5,0.75,1,0.5,60.33
0,70,45,6.5,4.0,0.75,1,0.5,72.5
0,40,45,9.5,4.0,1.0,1,1.0,65.07
0,40,45,9.5,4.0,1.0,2,1.0,59.68
0,40,45,9.5,4.0,1.0,3,1.0,55.79
0,40,45,9.5,4.0,1.0,1,3.0,68.02
0,40,45,9.5,4.0,1.0,2,3.0,62.26
0,40,45,9.5,4.0,1.0,3,3.0,61.22
0,40,45,9.5,4.0,1.0,1,5.0,63.56
0,40,45,9.5,4.0,1.0,2,5.0,61.27
0,40,45,9.5,4.0,1.0,3,5.0,62.25
1,40,45,9.5,4.0,1.0,1,1.0,66.31
1,40,45,9.5,4.0,1.0,2,1.0,57.21
1,40,45,9.5,4.0,1.0,3,1.0,53.87
1,40,45,9.5,4.0,1.0,1,3.0,64.09
1,40,45,9.5,4.0,1.0,2,3.0,56.1
1,40,45,9.5,4.0,1.0,3,3.0,55.0
1,40,45,9.5,4.0,1.0,1,5.0,57.09
1,40,45,9.5,4.0,1.0,2,5.0,53.25
